tweet_id, tweet_time, tweet_text, tweet_User_name, tweet_User_id, User_id_created_at, User_followers, User_friends, tweet_language, Retweet_count, favorite_count, hashtags
861210664290865159,Sun May 07 13:26:37 +0000 2017,Someone HAS to explain this still-flourishing trade in old notes. Who is still exchanging them? How? Even 6 months after #Demonetisation ? https://t.co/jEOBQ35hCM,VishalDadlani,41364508,Wed May 20 14:06:40 +0000 2009,2518123,436,en,107,153,['Demonetisation']
861508760103075840,Mon May 08 09:11:09 +0000 2017,"Six months of #demonetisation: Cash back to being king, shortage at ATMs continues https://t.co/TuQXn7exg6

@suchetanaray @MahuaVenkatesh https://t.co/7PEcB0nQns",htTweets,36327407,Wed Apr 29 10:11:34 +0000 2009,5644725,862,en,51,44,['demonetisation']
861494362416586753,Mon May 08 08:13:56 +0000 2017,"I'd love to hear actual answers to this question. How did #Demonetisation work out for YOU?
 https://t.co/yDH5hR1G5P",VishalDadlani,41364508,Wed May 20 14:06:40 +0000 2009,2518123,436,en,44,96,['Demonetisation']
861537596710699009,Mon May 08 11:05:44 +0000 2017,"Six months after demonetisation, auto sales back to normal but BS-III brakes growth https://t.co/feTTWkkU9u https://t.co/EB4BnKuECF",htTweets,36327407,Wed Apr 29 10:11:34 +0000 2009,5644725,862,en,6,7,[]
861536919187890176,Mon May 08 11:03:02 +0000 2017,@INCIndia The picture used by ht may be old but the article is about six months of demonetisation. INC's tweet is about the impact of demonetisation.,MonicaDubey,68851374,Wed Aug 26 00:32:13 +0000 2009,66,446,en,0,0,[]
861536875080695808,Mon May 08 11:02:52 +0000 2017,Unemployment &amp; poor track record of NDA worsened with #DeMonetisation https://t.co/ko1IAdXfFW,udaytwitt55,813838514466885633,Tue Dec 27 20:06:37 +0000 2016,48,51,en,0,0,['DeMonetisation']
861536302553907200,Mon May 08 11:00:35 +0000 2017,@SMHoaxSlayer @Andher_Billa ht has used an old picture but the article is about six months of demonetisation. INC has only retweeted.,MonicaDubey,68851374,Wed Aug 26 00:32:13 +0000 2009,66,446,en,0,0,[]
861536213060132864,Mon May 08 11:00:14 +0000 2017,"👇S Gurumurthy explains brilliantly, how demonetisation has defattened the Indian economy and what needs to be... https://t.co/C0OAs00zTU",HARESHUPADHYAY1,773005711,Wed Aug 22 06:17:01 +0000 2012,223,181,en,0,0,[]
861535205244387329,Mon May 08 10:56:14 +0000 2017,@republic Why can't republic focus on the weakness of demonetisation? If Kejriwal has taken 2C bribe!!,dineshalbertson,251920093,Mon Feb 14 03:19:59 +0000 2011,71,164,en,0,0,[]
861534733729181696,Mon May 08 10:54:21 +0000 2017,"#ViralSach Photo used here is from Dec 2016 Andher_Billa 
https://t.co/L7cJySr4VY https://t.co/XnNry0vIEe https://t.co/ntmUTeH3Fg https://t.co/AHLRJRHIxh",pj77in,88136400,Sat Nov 07 07:16:16 +0000 2009,4430,99,en,0,0,['ViralSach']
861534664477089792,Mon May 08 10:54:05 +0000 2017,"https://t.co/ttuW6Xf7Hz - Photo used here is from Dec 2016 Andher_Billa 
https://t.co/mjin8HeUSs https://t.co/aJhtGXsFXf https://t.co/j46D6fGdAc",CheckFacts1st,859343547509612544,Tue May 02 09:47:22 +0000 2017,1,30,en,0,0,[]
861534268681408513,Mon May 08 10:52:30 +0000 2017,"Photo used here is from Dec 2016 @Andher_Billa 
https://t.co/dVWOtolpGw https://t.co/gfFEWZnSKi",SMHoaxSlayer,3307871390,Thu Aug 06 14:16:10 +0000 2015,5905,121,en,0,3,[]
861534005337915392,Mon May 08 10:51:28 +0000 2017,So how did that demonetisation thing work out for you? @tjoseph0010 takes a look.  https://t.co/JMZRN2QNDI via @scroll_in,srinivasanravi,28563472,Fri Apr 03 13:37:48 +0000 2009,3987,2524,en,1,1,[]
861533858583281664,Mon May 08 10:50:53 +0000 2017,"6 months of demonetisation: Cash back to being king, shortage at ATMs continues https://t.co/09lIs1EuCt https://t.co/mS0H2x5RD1",20sumit20,809696957987856384,Fri Dec 16 09:49:33 +0000 2016,12,59,en,0,0,[]
861533434157584384,Mon May 08 10:49:11 +0000 2017,"Didn't you tell us the other day that #DeMonetisation had broken maoists' backbone, crippled stone-pelters, and killed corruption? https://t.co/ldldDCul76",sidshukla,70175053,Sun Aug 30 18:05:04 +0000 2009,111,153,en,0,0,['DeMonetisation']
861209609100558336,Sun May 07 13:22:25 +0000 2017,@akhter_se @jayanthnaidu20 @MehraHema @Bhavadasanunni @pbhushan1 @AAPlogical 4) Demonetisation has given the nation the much needed push towards ethics/Values/Integrity ... 3/n,Synergyspeak,3062280530,Thu Mar 05 05:56:34 +0000 2015,414,798,en,0,2,[]
861203424238600192,Sun May 07 12:57:51 +0000 2017,"The corrupt are feeling the heat of demonetisation
https://t.co/pnc2RiZqkD

via NMApp
@narendramodi @PMOIndia",iSushilPandey,1476500472,Sun Jun 02 06:06:03 +0000 2013,4264,451,en,0,0,[]
861201927664566273,Sun May 07 12:51:54 +0000 2017,Has black money generation stopped after #DeMonetisation,mohit_change,3238006784,Sat Jun 06 15:19:12 +0000 2015,182,319,en,0,0,['DeMonetisation']
861201561271361536,Sun May 07 12:50:27 +0000 2017,"Stressing again, demonetisation has brought property prices down by 25-30 percent. It is unbelievable.",TheSarda,29311621,Mon Apr 06 22:31:07 +0000 2009,293,109,en,0,0,[]
861199280588988416,Sun May 07 12:41:23 +0000 2017,"@narendramodi_in Sir, Post #DeMonetisation nothing has changed. Infact traders of Kondli, Delhi are selling without bill more confidently",mohit_change,3238006784,Sat Jun 06 15:19:12 +0000 2015,182,319,en,0,0,['DeMonetisation']
861197776587169792,Sun May 07 12:35:24 +0000 2017,"People are right.. 
Arvind Kejriwal  taking 2 crore bribe in cash is a proof that Modi's demonetisation has been a big failure...... 🙃😜",arunruby08,67567049,Fri Aug 21 09:22:19 +0000 2009,1330,118,en,0,4,[]
861197417026170880,Sun May 07 12:33:59 +0000 2017,@republic Village adage: when Cow lift tail its 4 urination. Aggression against  Demonetisation and EVMs a telling tale of cover up,modiblitz,202571755,Thu Oct 14 10:28:46 +0000 2010,766,3318,en,0,0,[]
861196724911472640,Sun May 07 12:31:14 +0000 2017,"@htTweets The way he cried at demonetisation,  it was already known that he is involved in money laundering",Namitaangelite,701711248082141184,Mon Feb 22 10:12:53 +0000 2016,33,94,en,0,0,[]
861196467209359360,Sun May 07 12:30:12 +0000 2017,"@shilpitewari @KapilMishraAAP 
This is big slap on #digitalpayments and #DeMonetisation  initiative by Modi ji",sharma__sanjay,1643131838,Sat Aug 03 16:03:34 +0000 2013,969,1441,en,0,0,"['digitalpayments', 'DeMonetisation']"
861195436350197764,Sun May 07 12:26:06 +0000 2017,@SV99999 People are right..Shri Arvind Kejriwal ji taking 2 crore bribe in cash is a proof that Modi's demonetisation has been a big failure,thegauravbhati,318207168,Thu Jun 16 03:51:03 +0000 2011,13,63,en,5,7,[]
861193824760209408,Sun May 07 12:19:42 +0000 2017,"AK: Satinder @SatyendarJain, this is unacceptable!
Online transfer hi kar dete. Mere 'i-hate-demonetisation' ko itna seriously kyun liya? 😭😭 https://t.co/VG5kESL8bM",RitikaSpeaks,2298790746,Sun Jan 19 01:50:05 +0000 2014,3663,379,en,4,7,[]
861193666936709121,Sun May 07 12:19:05 +0000 2017,@4ushashishekhar @NaIna0806 @msisodia @KapilMishraAAP @sardanarohit @sush091979 @ravibhadoria @jeetensingh @iSharmaPuneet @jyotikatharia @amitrajwant @iarunmani True AAPTard is the one who accuses Modi of absolute failure in demonetisation because 2 crore  cash was given to Kejriwal.,MargeshRaval,407645040,Tue Nov 08 10:25:10 +0000 2011,84,102,en,0,0,[]
861193433960112133,Sun May 07 12:18:09 +0000 2017,If we can support #DeMonetisation then we can support ne action take 2 solve #kashmirissue #solveit #leaveit concentrate on rest country 2/2,RohitVPradhan,228437928,Sun Dec 19 18:31:25 +0000 2010,88,98,en,0,0,"['DeMonetisation', 'kashmirissue', 'solveit', 'leaveit']"
861193395317886976,Sun May 07 12:18:00 +0000 2017,@ShefVaidya @ArvindKejriwal @TrollKejri @KapilMishraAAP @ashutosh83B @AashishKhetan @ValmikiNaik True AAPTard is the one who accuses Modi of absolute failure in demonetisation because 2 crore  cash was given to Kejriwal.,MargeshRaval,407645040,Tue Nov 08 10:25:10 +0000 2011,84,102,en,3,3,[]
861193254196269057,Sun May 07 12:17:26 +0000 2017,@TimesNow #AapKeTukde What is important to probe is source of 2 cr. Even after #Demonetisation how politicians are able to get such Cash?,hid0352,1595914530,Mon Jul 15 14:11:43 +0000 2013,190,189,en,0,0,"['AapKeTukde', 'Demonetisation']"
861192353054208001,Sun May 07 12:13:51 +0000 2017,@dssharma345 @ChallengerHj @nonsense01vk @JhaSanjay Why not question BJP on the failed #DeMonetisation and scam behind it through which PVT companies have earned in Cr's.,im4unitedindia,592127283,Sun May 27 18:44:52 +0000 2012,22,206,en,0,0,['DeMonetisation']
861190951674544128,Sun May 07 12:08:17 +0000 2017,"@KiranKS Not only Lutyens Media Mafia but also d RS member of JD(U),KC Tyagi finds an excuse 2 target @narendramodi &amp; call #DeMonetisation a failure. https://t.co/ONiPajRJpt",vermaaakash10,587478766,Tue May 22 14:42:51 +0000 2012,1251,1415,en,0,1,['DeMonetisation']
