tweet, polarity, negative, neutral, positive, compound
love hear actual answer question demonetisation work,positive,0.0,0.588,0.412,0.6369
unemployment amp poor track record nda worsened demonetisation,negative,0.64,0.36,0.0,-0.836
gurumurthy explains brilliantly demonetisation defattened indian economy need,positive,0.0,0.636,0.364,0.6124
republic focus weakness demonetisation kejriwal taken c bribe,negative,0.479,0.521,0.0,-0.5574
tell u day demonetisation broken maoist backbone crippled stone pelter killed corruption,negative,0.458,0.542,0.0,-0.8225
demonetisation given nation much needed push towards ethic value integrity n,positive,0.0,0.615,0.385,0.6124
people right arvind kejriwal taking crore bribe cash proof modi demonetisation big failure,negative,0.317,0.683,0.0,-0.6249
people right shri arvind kejriwal ji taking crore bribe cash proof modi demonetisation big failure,negative,0.282,0.718,0.0,-0.6249
ak satinder unacceptable online transfer hi kar dete mere hate demonetisation ko itna seriously kyun liya,negative,0.393,0.607,0.0,-0.8126
support demonetisation support ne action take solve kashmirissue solveit leaveit concentrate rest country,positive,0.0,0.581,0.419,0.7351
question bjp failed demonetisation scam behind pvt company earned cr,negative,0.467,0.533,0.0,-0.7906
kapilmishra arvind kejriwal ji taking crore bribe cash proof modi demonetisation big failure,negative,0.317,0.683,0.0,-0.6249
note ban disruptive policy innovation since demonetisation noteban modi bjp rbi demonetisationdisaster,negative,0.337,0.514,0.149,-0.5106
good bye atm debit credit card india ahead game makeinindia demonetisation,positive,0.0,0.621,0.379,0.6705
iskejricorrupt kapil proved kejriwal abused pm demonetisation issue much unaccounted money note,negative,0.231,0.769,0.0,-0.5106
help hdfc icici axis bank charge r free transaction month,positive,0.0,0.538,0.462,0.7184
true aaptard one accuses absolute failure demonetisation coz crore cash given bribe kejriwal,negative,0.389,0.466,0.145,-0.5719
people right shri arvind kejriwal ji taking crore bribe cash proof modi demonetisation big failure,negative,0.282,0.718,0.0,-0.6249
people right shri arvind kejriwal ji taking crore bribe cash proof modi demonetisation big failure,negative,0.282,0.718,0.0,-0.6249
corruptionkingkejriwal modi ji resign even demonetisation people r using cash cr shame u modi ji,negative,0.333,0.667,0.0,-0.6705
kejriwalexposed crore caaaaaaash another annonymous anomaly aaptards prove demonetisation failed exercise,negative,0.248,0.752,0.0,-0.5106
breaking news shri arvind kejriwal ji taking crore bribe cash proof modi demonetisation big failure,negative,0.282,0.718,0.0,-0.6249
modi ji boasting ending terrorism naxal route demonetisation naxal caught cr tight slap looterakejriwal,negative,0.253,0.659,0.088,-0.6124
claim crore cash aap conspiracy defame rashtra rishi shri shri eliminated black money demonetisation,negative,0.207,0.793,0.0,-0.5267
called demonetisation successful one satyendra jain manage cr cash thing right kapilmishra,positive,0.0,0.743,0.257,0.5859
asshole secular liberal anti modi pro pakistani anti demonetisation self prasier full backchod,negative,0.295,0.705,0.0,-0.5574
u write new conspiracy theory demonetisation affected kejriwal got cr supposed get,negative,0.357,0.643,0.0,-0.6124
aapketukde kejriwal proved blackmoney cannot eradicated demonetisation great iit brain,negative,0.268,0.732,0.0,-0.5096
think kejriwal took crore bribe prove modis move demonetisation failed curb corruption salute,negative,0.317,0.683,0.0,-0.6249
aapketukde kejriwal trying bust myth blackmoney cannot eradicated demonetisation great iit brain,negative,0.23,0.77,0.0,-0.5096
people right shri arvind kejriwal ji taking crore bribe cash proof modi demonetisation big failure,negative,0.282,0.718,0.0,-0.6249
satyendra jain used bhim app paytm bribe sad modi must resign case bribery demonetisation failed,negative,0.491,0.509,0.0,-0.8625
sss staged drama prove demonetisation failed amp paid u tweet,negative,0.292,0.708,0.0,-0.5106
exactly quoted bad economics demonetisation already done dusted medicine mention india opening mkt fdi,negative,0.212,0.788,0.0,-0.5423
happend head head much black money got demonetisation aap fraud abt bjp,negative,0.257,0.743,0.0,-0.5859
kapilmishra proved abused modi demonetisation much unaccounted money k note आप_क _ट कड,negative,0.231,0.769,0.0,-0.5106
sir ji wat vl u single handedly destroyed draconian demonetisation scheme failed dumbnutsofet,negative,0.394,0.606,0.0,-0.7579
aapketukde kapil proved kejriwal abused modi demonetisation issue much unaccounted money note,negative,0.231,0.769,0.0,-0.5106
kapil proved arvind kejriwal abused modi demonetisation issue much unaccounted money note,negative,0.231,0.769,0.0,-0.5106
kapilmishra proved kejriwal abused modi demonetisation issue much unaccounted money note shame,negative,0.39,0.61,0.0,-0.7506
kapil proved corruptionkingkejriwal abused modi demonetisation issue much unaccounted money note,negative,0.248,0.752,0.0,-0.5106
cr cash must note bundle need suitcase note demonetisation big failure,negative,0.248,0.752,0.0,-0.5106
next paid u cash service demonetisation failed,negative,0.398,0.602,0.0,-0.5106
demonetisation big failure modi must resign,negative,0.588,0.412,0.0,-0.6908
demonetisation dried fund rogue activist major event like amma death result riot go prove unrest r funded,negative,0.326,0.565,0.109,-0.7184
demonetisation white lie modi bjp tat funding terror attack cut feku truth,negative,0.455,0.423,0.122,-0.743
iskejricorrupt yes thank god demonetisation otherwise kejri might looted delhi money,positive,0.0,0.523,0.477,0.743
aapard opposing demonetisation ak shud understand reason behind ak opposition currency ban,negative,0.247,0.753,0.0,-0.5574
crore cash clearly show demonetisation failed fascist modi shame left resign immediately,negative,0.561,0.317,0.122,-0.8658
crore cash clearly show demonetisation failed fascist modi shame left resign immediately,negative,0.561,0.317,0.122,-0.8658
bastard distributed liquor license delhi amp collected lac license rattled demonetisation,negative,0.259,0.741,0.0,-0.5423
dear rbi please hire count r cr second atleast know much cash received demonetisation,positive,0.0,0.692,0.308,0.5994
cr cash must note bundle take suitcase note demonetisation big failure,negative,0.248,0.752,0.0,-0.5106
dead demonetisation cash would become paper betrayal,negative,0.618,0.382,0.0,-0.8442
pm shri bold leadership show india rewrite economics demonetisation inspire isro new height sa,positive,0.0,0.656,0.344,0.743
saddest bit thought crore single digit meant nuffin sigh demonetisation taken u back decade,negative,0.248,0.683,0.068,-0.5994
seriously gold bol deta davar ka sona aaj mud island mein aayega diamond like ajeet bola cash demonetisation lmao,positive,0.067,0.588,0.345,0.7964
